id,category,text,source,written_by,status
adm-011,admissions,"Applicants for MS, MPhil, or PhD programs who are shortlisted to appear in NUML's own devised GAT test are required to deposit Rs. 1,200 as the GAT fee before sitting the test. This fee is separate from the regular admission processing fee paid at the time of the initial online application, and the GAT test result itself factors into the overall merit calculation used to shortlist candidates for the subsequent interview stage. Candidates who already hold a qualifying HEC ETC, NTS, or GRE score are still required to appear in NUML's own Subjective Test worth 25 marks, according to the schedule announced by their faculty, so holding an external test score does not remove the need to budget for and sit this university-administered component.","NUML Admission Policy document, numl.edu.pk/downloads",Minahil,verified
adm-012,admissions,"Foreign nationals applying to NUML must complete the standard online application form like any other applicant, but must separately download and fill the ""International Applicants"" admission form, available under the Downloads section of the NUML website, attaching a recent passport-sized photograph, a copy of their passport, and educational documents translated into English. Because requirements for international applicants can differ from those for local candidates, and can also vary depending on the applicant's country of origin and the specific program applied for, it is advisable for foreign national applicants to also reach out to the Admissions Office directly to confirm the complete document checklist before submitting, rather than relying solely on the general international applicant form instructions.",numl.edu.pk/lahore/campus/faqs,Minahil,verified
adm-013,admissions,"All degree programs offered at NUML are recognized by the Higher Education Commission (HEC) of Pakistan through its respective councils, though eligibility criteria for specific programs may still vary depending on the discipline and level of study. For example, NUML's BS Computer Science and BS Software Engineering programs are additionally accredited by the National Computing Education Accreditation Council, while BE Electrical Engineering is separately accredited by the Pakistan Engineering Council starting from its very first batch of students. This layered accreditation means a NUML degree carries both the general HEC recognition applicable to all Pakistani universities and, for specific technical programs, an additional discipline-specific accreditation that can matter for professional registration after graduation.",numl.edu.pk/admission/faqs,Minahil,verified
adm-014,admissions,"NUML advises applicants to confirm their eligibility carefully before processing their admission form online, rather than assuming any inaccuracy will go unnoticed. Admission can be cancelled at any stage, without any refund except the security fee, if a candidate is later found ineligible as per the original advertisement, or if any submitted degree or certificate is found to be fake or unrecognized. This cancellation policy applies regardless of how far a student has progressed in their studies, meaning even a student who has completed several semesters can have their admission voided retroactively if a submitted credential is later discovered to be fraudulent, so honesty and accuracy at the application stage protects a student from this outcome later on.",numl.edu.pk/admission_navigation,Minahil,verified
adm-015,admissions,"For undergraduate programs at NUML, admission is awarded based on a combination of the entry test score, previous academic qualification, and interview marks, rather than any single factor alone. Candidates generally need at least 50 percent in the entry test to be considered, though competitive high-demand programs, such as BS Computer Science, may require a noticeably higher combined score to make the final merit list, since NUML typically publishes more than one merit list per cycle and seats in popular programs fill quickly on the earlier lists. Because all three components count toward the final position, a candidate should not treat any single part of the process as optional, even if their academic record is already strong.",numl.edu.pk/downloads (Admission Procedure PDF),Minahil,verified
adm-016,admissions,"Applicants who already hold a valid GRE International score or an NTS GAT-General score may be exempted from taking NUML's own General Ability Test, but they are still required to pass the written or subjective portion of NUML's GAT-General, scheduled separately by their respective faculty. This partial exemption applies at both the undergraduate and graduate levels, though the specific subjective component differs by degree level: MS, MPhil, and PhD applicants sit a Subjective Test worth 25 marks even after presenting a qualifying external score. Applicants relying on an external score to skip part of NUML's testing process should still confirm with their faculty which specific component remains mandatory for their program, since assuming a full exemption based on an external score alone can result in missing a required test date.",numl.edu.pk/downloads/Eligiblity%20Criteria.pdf,Minahil,verified
adm-017,admissions,"A candidate holding a two-year BA or BSc degree can be admitted directly into the third year, or fifth semester, of a four-year BS program at NUML, after successfully completing 15 to 18 credit hours of bridging courses prescribed by HEC and the university. This bridging arrangement exists specifically to fill the curricular gap between a two-year degree structure and NUML's standard four-year, eight-semester BS framework, which otherwise requires between 130 and 140 total credit hours to complete. Candidates considering this route should confirm the exact bridging courses required for their specific intended program with the relevant department, since the list of prescribed courses can differ depending on the discipline the candidate is transitioning into.",numl.edu.pk/downloads (eligibility documents),Minahil,verified
adm-018,admissions,"NUML's centralized online admission system, used for the main Islamabad campus as well as all regional campuses, is hosted separately from the main NUML website at onlineadmission.numl.edu.pk. Applicants register here by selecting their campus and admission type before completing the rest of the application form, including Basic Information, Residence, Academics, Guardians, and Additional Information sections. Because this portal is hosted on a different domain from the main university website, applicants are advised to bookmark this address directly rather than searching for it each time or navigating through the main site's links, which reduces the risk of missing a deadline while trying to relocate the correct application page during a busy admission window.",numl.edu.pk/admission,Minahil,verified
adm-019,admissions,"Shortlisted candidates called for interview at NUML must bring original documents, including CNIC, academic certificates, degrees, and their GAT result where applicable, for verification at the time of the interview. Provisional applicants and those applying to multiple programs are given separate interview slots, and admission is only awarded based on a combination of entry test score, academic qualification, and these interview marks, so the interview stage carries real weight in the final selection rather than being a formality. Candidates applying to BS or BBA (Hons) programs specifically are additionally required to bring IBCC-verified educational documents to the interview, on top of the standard identification and academic paperwork everyone else brings, so it is worth arranging this verification well in advance of the scheduled interview date.","NUML interview admit card format, cross-checked with admission policy",Minahil,verified
adm-020,admissions,"The window for submitting admission applications at NUML for a given intake is typically open for approximately one month, though exact opening and closing dates are announced separately for each session rather than following a fixed calendar. NUML runs two main intakes each year, Fall and Spring, plus separate functional language courses that usually start around June, so applicants should check the admission calendar on the official website for the specific dates relevant to their intended intake and program. Admissions for a given intake are also commonly conducted in phases, a Phase-I and a Phase-II, each with its own separate deadline, entry test date, and merit list, so a candidate who misses the Phase-I window may still have an opportunity to apply if a Phase-II window is subsequently announced for that session.",numl.edu.pk/downloads (Admission Procedure PDF),Minahil,verified
adm-021,admissions,"Candidates generally need to score at least 50 percent in NUML's entry test to be considered for selection, though competitive high-demand programs may require a noticeably higher score to actually make it onto the final merit list. Final admission is decided based on a combination of this entry test score together with previous academic qualification and interview marks, rather than the entry test score alone, and NUML typically publishes a first, second, and sometimes a third merit list per admission cycle. Candidates who fall just short of the cutoff on an earlier list should therefore continue checking the official NUML website rather than assuming their chance has passed, since later lists are issued as seats become available from candidates who do not confirm their admission.",numl.edu.pk/admission/papers,Minahil,verified
adm-022,admissions,"NUML does not release just one merit list per admission cycle. Typically a first, second, and sometimes a third merit list are published in sequence for both undergraduate and graduate programs, with candidates who miss an earlier list sometimes appearing on a later one as seats become available when higher-ranked candidates do not confirm their admission by completing document verification and fee payment. Candidates should keep checking the official NUML website rather than assuming the first list is final, and should also be aware that being included on any merit list is not itself the end of the process, since a fee voucher issued after document verification is what actually finalizes a seat.","numl.edu.pk, cross-checked with published merit list schedules",Minahil,verified
adm-023,admissions,"NUML reserves a 5 percent admission quota for children of Overseas Pakistanis. Candidates applying under this quota must still meet the minimum eligibility criteria for their program and go through the same test and interview schedule as regular applicants, with no fee concessions granted under this quota, unlike the separate sports quota, which does include a full fee waiver and free hostel accommodation for selected candidates. Applicants who qualify for the Overseas Pakistani quota should indicate this on their application and be prepared to submit documentation proving the relevant parent's Overseas Pakistani status, since this quota operates as a reserved allocation within the overall seat count rather than an addition on top of the regular intake.",numl.edu.pk/admission,Minahil,verified
adm-024,admissions,"NUML offers limited undergraduate seats under a quota for candidates with provincial, national, or international certificates in categories such as sports, debate, Qirat, Naat, poetry, calligraphy, singing, dramatics, and painting. Applicants under this quota submit an additional processing fee of Rs. 1,000, separate from the standard admission processing fee paid with the regular application. Candidates selected specifically under the sports quota are awarded a scholarship covering a 100 percent fee waiver along with free hostel accommodation for the duration of their studies, making this quota notably more generous than the other certificate-based categories under the same provision, which do not carry this same scholarship benefit by default.",numl.edu.pk/admission,Minahil,verified
adm-025,admissions,"For admission into MBA, MS, MPhil, or PhD programs, which NUML classifies as Level 7 and Level 8 respectively, applicants who already hold a qualifying HEC ETC, NTS, or GRE score are still required to appear in NUML's own Subjective Test, worth 25 marks, according to the schedule announced by their faculty. This requirement means an external test score can exempt a candidate from part of NUML's General Ability Test process, as it does at the undergraduate level with NTS GAT-General or GRE International scores, but it does not remove the need to sit a university-specific written component that faculties use to further assess subject-specific readiness before finalizing the graduate admission merit list.",numl.edu.pk/admission,Minahil,verified
adm-026,admissions,"Candidates applying to BS or BBA (Hons) programs at NUML are required to bring IBCC-verified educational documents at the interview stage, in addition to the standard identification and academic documents such as CNIC, academic certificates, and degrees required of all shortlisted candidates. Missing or unverified documents at this stage can affect a candidate's standing on the final merit list, since the interview and document verification together feed into whether an admission offer is finalized. Because IBCC verification can take time to process depending on demand, candidates applying to these specific programs are advised to begin this verification well ahead of their scheduled interview date rather than waiting until shortly before, to avoid being unprepared when called in.",Cross-checked from admission-process guidance referencing NUML procedures,Minahil,verified
adm-027,admissions,"NUML issues the official course fee voucher to a selected candidate only after their submitted documents and eligibility have been verified following the interview stage. A candidate should not assume their seat is confirmed simply by appearing on a merit list; the fee voucher and its payment by the stated deadline are what finalize the admission, meaning a candidate who appears on a merit list but fails to complete verification and payment in time can lose their seat to another candidate from a subsequent list. This distinction matters particularly for candidates who applied to multiple programs, since a fee voucher may be issued for only one of their applications depending on which program's merit process they cleared first.",Cross-checked from admission-process guidance referencing NUML procedures,Minahil,verified
adm-028,admissions,"NUML admissions for a given intake are commonly conducted in phases, a Phase-I and a Phase-II, each with its own separate application deadline, entry test date, and merit list. A candidate who misses the Phase-I window can still apply during the Phase-II window if one is announced for that particular session, though Phase-II is not guaranteed to run for every intake or every program, since it typically depends on how many seats remain unfilled after Phase-I concludes. Candidates relying on the possibility of a Phase-II window should not delay their Phase-I application on that assumption, since checking the official admission calendar for confirmation that a second phase has actually been announced is the only reliable way to know whether this option is available for a given cycle.",numl.edu.pk/admission,Minahil,verified
adm-029,admissions,"Some programs at NUML are offered in more than one shift, such as morning and evening sections, particularly at the undergraduate level in computing degrees like BS Computer Science and BS Software Engineering. Candidates should confirm which shift they have been placed in through their admission portal, since this can affect their class timing, though students in either shift complete the identical degree curriculum, earn the same total credit hours, and receive a final degree certificate that does not distinguish between morning or evening shift enrollment. Because hostel seat priority is generally given to morning-shift students due to capacity limits, a candidate placed in the evening shift who also needs on-campus accommodation should factor this into their planning when applying for a hostel seat.",Cross-checked from NUML fee challan format showing shift-specific program names,Minahil,verified
adm-030,admissions,"Being included on a NUML merit list is not the final step of admission. After selection, a candidate still needs to complete document and eligibility verification, obtain the official fee voucher, pay it before the deadline, and keep checking the admission portal for further enrollment and class-related information such as shift assignment and orientation schedules. Candidates should treat this as an ongoing process rather than something that ends once their name appears on the list, since NUML explicitly warns that admission can still be cancelled at any stage, without refund except the security fee, if a candidate is later found ineligible or a submitted credential proves to be fake, even after a seat has appeared to be secured on a merit list.",Cross-checked from admission-process guidance referencing NUML procedures,Minahil,verified
fee-031,fees,"When a student is admitted at NUML Islamabad, three one-time charges apply: an admission fee, a registration fee, and a refundable security fee. These are separate from the Rs. 2,000 non-refundable admission processing fee already paid at the application stage, and from the recurring tuition and semester charges that start once classes begin. The admission fee and registration fee are paid only once, at the time of joining, and are not repeated in later semesters. The security fee works differently: it is held against the student for the duration of their studies and returned once they complete their degree or formally withdraw, provided no outstanding dues or property damages are recorded against their name. If an admission is later cancelled because a candidate is found ineligible, or because a submitted degree or certificate proves to be fake or unrecognized, NUML withholds every other one-time payment already made and refunds only the security fee. Exact amounts for the admission fee, registration fee, and security fee depend on the program and academic level, and are published in the current semester's official fee structure document on the NUML website.",numl.edu.pk/admission/fee,Minahil,verified
fee-032,fees,"Beyond the one-time joining charges, NUML students pay a set of recurring charges every semester for as long as they remain enrolled. These typically include the tuition fee, an examination fee charged around the mid and final exam periods, maintenance charges covering campus upkeep and utilities, and a library subscription fee, along with smaller heads such as a magazine fund and student activity charges. Unlike the one-time admission and registration fees, these recurring charges are billed fresh each semester through a new fee challan, so a student cannot assume last semester's amount will carry over unchanged. The exact combination and amount of these heads varies by program and faculty, and by academic level, since graduate and professional programs are typically billed at a different rate than undergraduate ones. Students should refer to the semester-wise fee structure document published on the NUML website, or the challan generated for their own registration number, rather than relying on what a classmate in a different program was charged.",numl.edu.pk/admission/fee,Minahil,verified
fee-033,fees,"NUML fees are paid against a fee challan, which a student can either collect in person or download from the NUML LMS or admission portal once it has been generated for the relevant semester. The challan lists the exact amount due, the heads it covers such as tuition, examination, and maintenance charges, and a specific due date. Payment can be made at an NUML campus fee counter or at any bank branch supported by the payment system named on the challan, typically a designated bank with branches across the country so that students outside Islamabad are not required to travel to campus just to pay. After payment, students should keep the paid receipt or online confirmation, since this proof may be required later if a payment does not immediately reflect in the student's account on the LMS or admission portal. Paying through an unsupported bank or under a mismatched registration number can delay confirmation even if the money has left the student's account.",numl.edu.pk/main/lms,Minahil,verified
fee-034,fees,"NUML's fee refund policy follows a fixed timeline tied to the start of the semester: a full refund if the withdrawal is claimed in writing within the first week, fifty percent within the second week, and no refund at all after the fifteenth day of the semester's commencement. This timeline applies uniformly across undergraduate and graduate programs. A separate provision covers provisional students admitted on an awaited or web result: if their final result, once declared, fails to meet the eligibility percentage required for their program, they are entitled to a full refund, but only if they submit their written refund claim within seven days of the result being officially announced by the concerned board or university. Refund requests submitted after these windows, or made verbally rather than in writing, are not honored under the policy. Importantly, this refund policy governs tuition and semester charges; if an admission is separately cancelled for ineligibility or fake credentials, only the security fee is returned regardless of timing.",numl.edu.pk/admission_navigation,Minahil,verified
fee-035,fees,"Every fee challan issued by NUML carries a specific due date printed on it, and payments made after that date can attract an additional late fee charged on top of the original amount owed. Because due dates are set per challan rather than following one fixed academic-calendar rule, two students in different programs, or even different sections of the same program, may see different deadlines depending on when their challan was generated. Students should check the exact date printed on their own individual challan rather than assuming a standard grace period applies across the university, since relying on a friend's deadline or a previous semester's date can result in an avoidable late fee. If a challan is regenerated after being reissued for any reason, the due date on the new copy is the one that applies, not the date on any earlier version a student may have already downloaded.",NUML fee challan format (cross-checked pattern),Minahil,verified
fee-036,fees,"Tuition and other fee heads at NUML are revised and republished at the start of every semester rather than staying fixed year to year, which means the only reliable source for a currently accurate fee figure is the official fee structure document published on the NUML website for that specific semester, or the amount shown on a student's own freshly generated challan. Older printed fee structures, screenshots shared in student groups, or figures quoted by seniors from a previous semester should not be relied upon, since they may no longer reflect the current charges even for the same program and academic level. When in doubt about what a specific charge should be, a student is better off generating a fresh challan through the LMS or admission portal, or contacting the Finance Branch directly, rather than trusting an unofficial or outdated source.",numl.edu.pk/admission/fee,Minahil,verified
fee-037,fees,"NUML's publicly listed fee structure applies specifically to local Pakistani students studying under the regular fee schedule. Students who are Overseas Pakistanis, Pakistanis holding foreign nationality, or international students from outside Pakistan are charged under a separate fee schedule that is not published in the same general fee structure document available on the website. These students need to obtain their applicable rates directly from the University Admission Office rather than assuming the standard local rate applies to their case, since the two schedules can differ substantially in both the amount charged and the currency or payment method accepted. This distinction applies from the very first admission-related charge onward, so foreign national and overseas applicants are advised to confirm their fee category with the Admission Office before submitting any payment, to avoid underpaying against what is actually due for their category.",numl.edu.pk (Fee Structure page),Minahil,verified
fee-038,fees,"A student who wants to freeze a semester at NUML cannot simply stop attending classes; they must formally apply for approval through the Academics Branch, explaining the reason for the freeze request. Approval is not automatic and depends on the branch's review of the student's specific circumstances and academic standing at the time of the request. Because how a frozen semester affects fees already paid, or fees that would otherwise fall due during the frozen period, can vary depending on the timing of the request relative to the semester's start and the specific charges already billed, a student should not assume that freezing automatically waives or defers these fees. Instead, they should confirm the exact financial impact directly with the Finance Branch at the time of applying, since assumptions made without this confirmation have led students to be surprised by dues they believed were paused.","numl.edu.pk (Student Services listing, Academics Branch)",Minahil,verified
fee-039,fees,"Administrative requests such as a bonafide certificate, a character certificate, or a migration or no-objection certificate document are submitted through prescribed proformas to the Academics Branch rather than the Finance Branch, since these fall under academic record-keeping rather than fee collection. Some of these requests may carry a nominal processing charge separate from the regular semester fee, though this is not standardized across every type of document, so a student should confirm at the time of submission whether their specific request requires a payment and, if so, how that payment should be made. Turnaround time for these documents can also vary depending on the type requested and current processing load in the Academics Branch, so students needing a certificate for a time-sensitive external purpose, such as a visa or scholarship application, should apply well in advance rather than close to their deadline.",numl.edu.pk (Downloads: Proforma listings),Minahil,verified
fee-040,fees,"For any fee discrepancy, challan issue, or payment confirmation problem that is not resolved automatically through the LMS or admission portal, students at NUML Islamabad should contact the Finance Branch directly rather than the Admissions Office, since fee collection and admission processing are handled by separate branches with different responsibilities. Common issues handled by the Finance Branch include a payment that has left a student's bank account but does not yet reflect on the portal, a challan showing an incorrect amount for the student's program or academic level, or confusion between a regular semester challan and a separate processing or security fee. Students raising such an issue should be ready to provide their registration number, the challan number in question, and proof of payment such as a bank receipt or online transaction confirmation, since these details allow the Finance Branch to trace the payment faster than a general description of the problem alone.",numl.edu.pk (Offices directory),Minahil,verified
prog-041,programs,"The National University of Modern Languages offers undergraduate degree programs across its specialized faculties, including the Faculty of Engineering and Computer Sciences, the Faculty of Languages, the Faculty of Management Sciences, the Faculty of Social Sciences, and the Faculty of Arts and Humanities. Undergraduate degrees follow a standard four-year, eight-semester academic structure governed by Higher Education Commission guidelines, generally requiring between 130 and 140 total credit hours to complete. Available degree disciplines cover major academic pathways such as Computer Science, Software Engineering, Artificial Intelligence, Business Administration, Mass Communication, International Relations, and specialized regional and foreign language degrees. Courses are structured to balance core domain theory, breadth electives, practical laboratory work, and a final-year research or capstone project, and admissions for these programs open twice a year, in Fall and Spring.",https://numl.edu.pk/programs/undergraduate,Minahil,verified
prog-042,programs,"NUML structures its academic degree schedules across two separate operational shifts, Morning and Evening sessions. Undergraduate degree offerings such as BS Computer Science and BS Software Engineering are allocated across these shifts based on department capacity and facility availability. Students enrolled in either shift complete the identical degree curriculum, earn the same total credit hours, follow standard examination grading criteria, and complete equivalent laboratory requirements under their respective department timetables. Academic transcripts and final degree certificates awarded upon graduation do not differentiate between morning or evening shift enrollment. One practical difference does exist for hostel seekers, though: on-campus hostel priority is generally given to morning-shift students, with evening-shift students considered only when spare capacity remains after morning applicants are placed.",https://www.numl.edu.pk/programs/program/57,Minahil,verified
prog-043,programs,"Short-term functional language certificates, diploma programs, and advanced diplomas are offered through the Faculty of Languages at NUML. These functional language options operate in 8-week, 16-week, or semester-length formats across various languages, including English, Chinese, Arabic, French, German, Korean, Japanese, and Persian. Functional language courses focus specifically on building practical speaking, reading comprehension, grammar, and professional writing proficiency rather than the broader academic curriculum found in a full degree program. These non-degree functional programs run on independent academic schedules alongside regular degree tracks and cater to both current university students looking to add a language skill and external learners from outside NUML who are not otherwise enrolled in a degree.",https://numl.edu.pk/programs/functional,Minahil,verified
prog-044,programs,"Advanced higher education degree offerings at NUML comprise Master of Science (MS), Master of Philosophy (MPhil), and Doctor of Philosophy (PhD) programs across various disciplines. Graduate research degree options exist in fields such as Computer Science, Data Science, Software Engineering, English Linguistics, English Literature, Management Sciences, Mathematics, Education, and Governance and Public Policy. Higher degree completion requires a combination of post-graduate coursework followed by independent research thesis preparation and an oral defense, as mandated by the university's research committees, and admission into these programs generally requires a relevant 16-year degree meeting the department's CGPA threshold. Applicants who already hold a qualifying HEC ETC, NTS, or GRE score are still required to sit NUML's own Subjective Test as part of the graduate admission process.",https://numl.edu.pk/programs/graduate,Minahil,verified
prog-045,programs,"The Bachelor of Science in Artificial Intelligence (BS AI) is a specialized four-year undergraduate program housed within the Faculty of Engineering and Computer Sciences. The degree curriculum is designed to cover fundamental computer science subjects along with specialized AI domains, including machine learning, deep learning, computer vision, natural language processing, knowledge representation, and robotics. The degree program spans eight academic semesters, requiring completion of continuous assessment components, mid-semester exams, terminal examinations, and a multi-semester capstone project focused on practical AI applications. Eligibility generally follows the same intermediate-qualification and entry-test requirements as BS Computer Science, since both fall under the same faculty, so applicants should confirm the current admission criteria specific to BS AI with the Admissions Office.",https://numl.edu.pk/programs/program/352,Minahil,verified
prog-046,programs,"Regulations governing degree program adjustments or shift changes at NUML require formal departmental evaluations and administrative approval rather than being processed automatically upon a student's request. Academic transfers between different degree disciplines, or shift transfers from Evening to Morning sessions, are constrained by available departmental seat capacities, program merit thresholds, and prerequisite coursework already completed. Transfer requests must align with academic equivalency criteria established by department heads and the Academics Branch, and are evaluated individually based on the student's academic standing and merit compatibility during official academic evaluation windows announced each semester. Students considering such a transfer should submit their formal application well ahead of these windows, since late requests outside the designated evaluation period are unlikely to be processed until the following semester.",https://numl.edu.pk/programs/undergraduate,Minahil,verified
prog-047,programs,"The Associate Degree Program (ADP) is a two-year undergraduate academic qualification designed to provide technical skills and foundational domain knowledge over four academic semesters. Offered across select computing and business disciplines, the ADP curriculum serves either as a direct qualification for entry-level employment or as a transition path toward a standard four-year BS degree. Students who complete the ADP requirements with the prescribed Cumulative Grade Point Average may apply for lateral entry into the fifth semester of a corresponding BS degree program, similar in principle to how a two-year BA or BSc graduate can bridge into a four-year BS program. Students interested in this lateral-entry route should confirm the specific CGPA threshold and any additional bridging coursework required with the relevant Department Head before assuming automatic eligibility.",https://numl.edu.pk/programs/undergraduate,Minahil,verified
prog-048,programs,"Specialized English language preparation and functional proficiency tracks are administered through the Faculty of Languages. These offerings include Functional English courses, English Language Certificates, Diplomas, and targeted preparation modules for international language proficiency tests like IELTS and TOEFL. The functional curriculum concentrates on oral fluency, academic writing, listening comprehension, and professional communication skills, distinct from the language courses embedded within a standard degree program's general education requirements. These modules run independently from standard undergraduate degree requirements, offering flexible skill development for enrolled students and outside professionals alike, and typically follow the same short-format structure, 8-week, 16-week, or semester-length, used by the Faculty of Languages' other functional and diploma offerings.",https://numl.edu.pk/programs/undergraduate,Minahil,verified
prog-049,programs,"Degree programs delivered across NUML regional campuses in cities such as Lahore, Rawalpindi, Faisalabad, Multan, Peshawar, Karachi, Quetta, Hyderabad, Gwadar, and Mirpur AJK maintain complete curriculum alignment with the main Islamabad campus. Academic course outlines, credit hour requirements, evaluation systems, and examination standards are centralized across all campus locations. Final degree qualifications, transcripts, and diplomas granted to graduates of regional campuses are issued directly by the NUML Main Campus and carry identical academic validity and recognition as a degree earned in Islamabad. That said, program availability and specific admission requirements can still vary between campuses, so a student considering a regional campus should confirm which degrees are actually offered there directly with that campus's administration rather than assuming the full Islamabad program list is available everywhere.",https://numl.edu.pk/programs/undergraduate,Minahil,verified
prog-050,programs,"Four-year undergraduate Bachelor of Science (BS) degree programs at NUML are structured around standard Higher Education Commission credit frameworks, requiring between 130 and 140 total credit hours across eight semesters. A single credit hour corresponds to one hour of theory lecture or three hours of practical laboratory work per week throughout a standard 16-to-18-week semester. The curriculum framework balances general education courses, discipline core subjects, elective tracks, lab work, and a final-year design or research project, and students must also maintain a minimum required CGPA throughout their studies to remain in good academic standing. For the exact subject-by-subject breakdown and credit distribution for a specific degree, students should consult their department's official scheme of study rather than relying on the general credit-hour range alone.",https://numl.edu.pk/programs/undergraduate,Minahil,verified
